AcFunc,nodes,layers,decrs,mse,time
<function gelu at 0x7fb196865b90>,36.0,14.0,1.0,0.4658897337233491,1.4
<function gelu at 0x7fb196865b90>,36.0,14.0,0.0,0.18013753320261458,0.98
<function gelu at 0x7fb196865b90>,48.0,6.0,1.0,0.3219026169517948,0.7
<function gelu at 0x7fb196865b90>,48.0,6.0,0.0,0.14896848453413225,0.65
<function gelu at 0x7fb196865b90>,48.0,8.0,1.0,0.31808732104081455,0.65
<function gelu at 0x7fb196865b90>,48.0,8.0,0.0,0.13871694375983476,1.39
<function gelu at 0x7fb196865b90>,48.0,10.0,1.0,0.21347155585589186,1.39
<function gelu at 0x7fb196865b90>,48.0,10.0,0.0,0.18803617483836224,0.84
<function gelu at 0x7fb196865b90>,48.0,12.0,1.0,0.47477639189369525,0.83
<function gelu at 0x7fb196865b90>,48.0,12.0,0.0,0.21950686036698855,0.92
<function gelu at 0x7fb196865b90>,48.0,14.0,1.0,0.47074548774538155,1.41
<function gelu at 0x7fb196865b90>,48.0,14.0,0.0,0.16102223411063502,1.41
<function gelu at 0x7fb196865b90>,60.0,6.0,1.0,0.7090782474422253,0.59
<function gelu at 0x7fb196865b90>,60.0,6.0,0.0,0.17410418938613245,0.7
<function gelu at 0x7fb196865b90>,60.0,8.0,1.0,0.6721945938247411,0.71
<function gelu at 0x7fb196865b90>,60.0,8.0,0.0,0.1801424323964504,1.39
<function gelu at 0x7fb196865b90>,60.0,10.0,1.0,0.23143496965846977,0.79
<function gelu at 0x7fb196865b90>,60.0,10.0,0.0,0.1780037184196082,0.91
<function gelu at 0x7fb196865b90>,60.0,12.0,1.0,0.617475078472102,1.4
<function gelu at 0x7fb196865b90>,60.0,12.0,0.0,0.15619907943278133,1.01
<function gelu at 0x7fb196865b90>,60.0,14.0,1.0,0.6064304921159293,0.98
<function gelu at 0x7fb196865b90>,60.0,14.0,0.0,0.22482127526539536,1.17
<function gelu at 0x7fb196865b90>,72.0,6.0,1.0,0.6305299554351657,0.7
<function gelu at 0x7fb196865b90>,72.0,6.0,0.0,0.1806251817001837,0.71
<function gelu at 0x7fb196865b90>,72.0,8.0,1.0,0.5882587568277099,0.71
<function gelu at 0x7fb196865b90>,72.0,8.0,0.0,0.4576537519802615,0.84
<function gelu at 0x7fb196865b90>,72.0,10.0,1.0,0.5892604178920509,1.4
<function gelu at 0x7fb196865b90>,72.0,10.0,0.0,0.17136382214650933,0.98
<function gelu at 0x7fb196865b90>,72.0,12.0,1.0,0.6976205278041604,0.89
<function gelu at 0x7fb196865b90>,72.0,12.0,0.0,0.19730893404356845,1.1
<function gelu at 0x7fb196865b90>,72.0,14.0,1.0,0.1875571128393351,1.18
<function gelu at 0x7fb196865b90>,72.0,14.0,0.0,0.16438054787850517,1.27
<function gelu at 0x7fb196865b90>,84.0,6.0,1.0,0.2686225105180003,0.7
<function gelu at 0x7fb196865b90>,84.0,6.0,0.0,0.17600947438160305,0.86
<function gelu at 0x7fb196865b90>,84.0,8.0,1.0,0.20394981204414991,1.39
<function gelu at 0x7fb196865b90>,84.0,8.0,0.0,0.18264777382618308,1.1
<function gelu at 0x7fb196865b90>,84.0,10.0,1.0,0.6257892346242877,1.4
<function gelu at 0x7fb196865b90>,84.0,10.0,0.0,0.5059082887985228,1.25
<function gelu at 0x7fb196865b90>,84.0,12.0,1.0,0.17903852833681985,1.4
<function gelu at 0x7fb196865b90>,84.0,12.0,0.0,0.1513700617094369,2.4
<function gelu at 0x7fb196865b90>,84.0,14.0,1.0,0.6287558682469823,1.14
<function gelu at 0x7fb196865b90>,84.0,14.0,0.0,0.11110556406524529,1.67
